Field;Rig;Wellbore;Section;Start time;End time
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;COMPL_TBGRN;2013-12-30 04:45:00;2014-03-01 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;COMPL_THINS;2014-03-01 07:00:00;2014-04-01 18:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;COMPL_XTINS;2014-04-01 18:45:00;2014-06-01 22:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;COMPL_PERF;2014-06-01 22:00:00;2014-01-15 14:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 D;COMPL_OTHER;2014-01-15 14:00:00;2014-01-15 15:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-99;DEMOBILIZE;2014-04-21 01:30:00;2014-04-30 18:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;WO_PREP;2014-01-25 11:00:00;2014-01-31 07:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;WO_PULLTBG;2014-01-31 07:45:00;2014-03-02 20:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;PERM P&A;2014-03-02 20:30:00;2014-02-19 21:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;PREPARE SIDETRACK;2014-02-19 21:00:00;2014-02-21 14:30:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 ST2;RE-ENT.;1997-07-20 21:00:00;1997-07-23 03:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_OTHER;2007-09-09 04:30:00;2007-09-14 20:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;"17 1/2""";2014-02-21 14:30:00;2014-03-03 18:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;"12 1/4""";2014-03-03 18:15:00;2014-11-03 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;"8 1/2""";2014-11-03 04:30:00;2014-03-15 16:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_LINER;2014-03-15 16:30:00;2014-03-18 16:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_WPREP;2014-03-22 01:00:00;2014-03-22 11:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_OTHER;2014-03-22 11:15:00;2014-03-29 11:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;TIEBACK;2014-03-29 11:30:00;2014-03-04 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_OTHER;2014-03-18 16:15:00;2014-03-22 01:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_TBGRN;2014-03-04 03:30:00;2014-05-04 12:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_THINS;2014-05-04 12:15:00;2014-07-04 05:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_XTINS;2014-07-04 05:30:00;2014-08-04 18:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_PERF;2014-08-04 18:30:00;2014-04-20 08:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 C;COMPL_OTHER;2014-04-20 08:30:00;2014-04-21 01:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;INTERVENTION;2013-12-20 03:30:00;2013-12-26 08:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;"12 1/4""";2013-08-29 15:30:00;2013-05-09 11:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;COMPL_SCRUN;2008-08-31 20:00:00;2008-04-09 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;INTERVENTION;2014-11-22 16:00:00;2014-11-27 09:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;PRESPUD;2007-09-14 21:00:00;2007-09-16 05:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"12 1/4""";2007-11-08 15:00:00;2007-08-22 14:15:00
