Field;Rig;Wellbore;Section;Start time;End time
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;TIEBACK;2008-05-06 09:30:00;2008-09-06 05:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_OTHER;2008-09-06 05:15:00;2008-09-06 13:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_WPREP;2008-06-18 03:30:00;2008-06-22 01:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_TBGRN;2008-06-22 01:15:00;2008-06-26 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_THINS;2008-06-26 06:00:00;2008-06-28 08:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_XTINS;2008-06-28 08:00:00;2008-03-07 02:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;TIEBACK;2008-11-08 07:00:00;2008-08-15 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;PERM P&A;2009-06-24 06:00:00;2009-06-28 22:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;COMPL_LINER;2008-06-15 15:30:00;2008-06-18 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;"8 1/2""";2009-07-07 22:30:00;2009-08-07 16:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_WPREP;2009-08-07 16:30:00;2009-09-07 08:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_SCRUN;2009-09-07 08:30:00;2009-11-07 20:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_TBGRN;2009-11-07 20:15:00;2009-07-14 21:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 A;PREP_LOC_STRACK;2009-08-01 06:00:00;2009-01-13 12:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_OTHER;2009-01-27 01:30:00;2009-07-02 02:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"12 1/4""";2008-09-20 04:00:00;2008-11-13 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_WPREP;2009-02-16 11:45:00;2009-02-18 23:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_TBGRN;2009-02-18 23:15:00;2009-02-25 04:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_THINS;2009-02-24 06:00:00;2009-02-27 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_XTINS;2009-02-27 06:00:00;2009-04-03 23:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;COMPL_THINS;2015-08-02 06:30:00;2015-08-02 19:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 B;"8 1/2""";2009-01-13 12:15:00;2009-01-15 07:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;WIREL;2009-03-13 15:00:00;2009-03-17 16:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;WIREL;2009-06-03 18:30:00;2009-03-13 15:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;INTERVENTION;2016-04-18 06:00:00;2016-04-20 06:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;INTERVENTION;2016-04-14 19:00:00;2016-04-18 06:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11;"36""";2013-07-03 19:00:00;2013-03-16 00:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"26""";2009-11-04 00:30:00;2009-04-22 12:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"17 1/2""";2009-04-22 12:45:00;2009-06-05 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"12 1/4""";2009-06-05 15:30:00;2009-05-19 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;"8 1/2""";2009-05-19 17:00:00;2009-03-06 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-10;PERM P&A;2009-03-06 17:00:00;2009-06-15 19:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_THINS;2015-02-02 18:45:00;2015-03-02 13:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_PERF;2009-04-03 23:30:00;2009-06-03 18:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;INTERVENTION;2012-01-27 15:00:00;2012-01-31 03:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 ST2;MOVE;1997-07-16 15:30:00;1997-07-20 21:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;PREP_LOC_STRACK;2008-11-29 13:45:00;2008-11-12 15:00:00
VOLVE;TREASURE PROSPECT;NO 15/9-19 S;TEMP P&A;1992-09-24 02:30:00;1992-09-24 14:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 BT2;PERM P&A;1998-01-18 18:00:00;1998-01-02 12:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;WO_PULLTBG;2015-01-26 15:30:00;2015-01-29 04:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;WO_REMEDIAL;2015-01-29 04:00:00;2015-01-29 11:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;WO_REMEDIAL;2015-01-29 11:15:00;2015-01-02 13:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;COMPL_TBGRN;2015-01-02 13:30:00;2015-02-02 18:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;DST;2015-03-02 13:15:00;2015-04-02 03:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;INTERVENTION;2015-02-11 18:00:00;2015-05-11 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-4;INTERVENTION;2012-11-09 07:00:00;2012-09-15 19:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;INTERVENTION;2012-09-15 19:00:00;2012-09-18 12:00:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 BT2;MOVE;1998-01-02 12:00:00;1998-04-02 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;"26""";2007-05-07 14:15:00;2007-07-15 12:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;TIEBACK;2007-08-30 23:30:00;2007-08-09 11:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-12;COMPL_PERF;2008-11-02 09:00:00;2008-11-02 17:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-7;COMPL_WPREP;2007-04-10 04:30:00;2007-05-10 04:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-14;PRESPUD;2007-05-11 11:00:00;2007-06-11 22:45:00
VOLVE;BYFORD DOLPHIN;NO 15/9-19 ST2;TEMP P&A;1997-07-23 03:00:00;1997-07-25 00:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9;"36""";2007-12-12 00:00:00;2007-12-12 21:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-5;COMPL_THINS;2008-08-17 13:45:00;2008-08-19 03:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 A;"17 1/2""";2008-11-12 15:00:00;2008-12-24 10:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 C;COMPL_OTHER;2009-09-02 17:00:00;2009-10-02 02:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"26""";2007-12-23 15:45:00;2007-12-30 11:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15;"8 1/2""";2008-11-13 06:00:00;2008-11-29 13:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-9 A;"12 1/4""";2009-03-07 04:45:00;2009-07-07 22:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-99;MOBILIZ;2012-11-16 12:00:00;2013-07-03 00:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11;PRESPUD;2013-07-03 00:00:00;2013-07-03 19:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 T2;"8 1/2""";2013-04-28 07:00:00;2013-09-05 16:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 T2;PREP_LOC_STRACK;2013-09-05 16:00:00;2013-05-14 12:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 T2;"17 1/2""";2013-04-13 12:30:00;2013-04-28 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 T2;"26""";2013-03-23 05:30:00;2013-04-13 12:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-15 B;PREP_LOC_STRACK;2009-01-15 07:45:00;2009-01-18 22:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_THINS;2013-04-07 20:00:00;2013-06-07 12:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_WPREP;2013-06-16 13:30:00;2013-06-21 07:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_TBGRN;2013-06-30 14:15:00;2013-04-07 20:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_XTINS;2013-06-07 12:30:00;2013-09-07 00:45:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_PERF;2013-09-07 00:45:00;2013-07-21 23:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_OTHER;2013-06-21 07:00:00;2013-06-21 21:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11;PREP_TECH_STRACK;2013-03-20 09:30:00;2013-03-23 05:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;"8 1/2""";2013-07-06 15:30:00;2013-12-06 20:15:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_LINER;2013-12-06 20:15:00;2013-06-16 13:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;"12 1/4""";2013-05-28 14:30:00;2013-07-06 15:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 A;"8 1/2""";2013-05-14 12:00:00;2013-05-24 14:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 A;PREP_LOC_STRACK;2013-05-24 14:30:00;2013-05-28 14:30:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 B;COMPL_OTHER;2013-07-22 14:00:00;2013-07-23 20:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-11 T2;TECHNICAL SIDETRACK;2013-03-23 05:30:00;2013-03-24 05:00:00
VOLVE;MÆRSK INSPIRER;NO 15/9-F-1 B;"8 1/2""";2013-05-09 11:45:00;2013-07-09 10:15:00
